nott_DAE_01_GH,early; late,Number of days from sowing to emergence of first fully expanded leaf,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PDW_01_GH,1;2;3;4,Average weight of pods taken from 5 plants per plot ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PDD_01_GH,1;2;3;4,Average width of pods taken from 5 plants per plot ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_PDL_01_GH,1;2;3;4,Average length of 10 pods,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SDW_01_GH,1;2;3;4,Average weight of seeds from 5 plants taken with a plot after drying,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SDD_01_GH,1;2;3;4,Average width of seed from 5 plants taken with plot after drying,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SDN_01_GH,1;2;3;4,Average number of seeds taken from 5 plants per plot ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SDL_01_GH,1;2;3;4,Average of seed length from 5 seeds taken per plot,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SSW_01_GH,1;2;3;4,Average of 100 seed weight,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SOW_01_GH,1;2;3;4,Weight of aboveground  biomassof harvested plants,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SHT_01_GH,1;2;3;4,Recorded within two months after harvest; average thickness of 10 pod,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SHW_01_GH,1;2;3;4,100 dry pods  weighed then shelled  ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_SHP_01_GH,1;2;3;4,Average percentage of 10 pods based on weight of mature seeds (at 12% moinsture content),odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
nott_STN_01_GH,1;2;3;4,Number of stem recorded from selected plants,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,,razlin.azman@cffresearch.org
,,,,,,,,,,
bca_DAE_01_FT,early; late,Number of days from sowing to emergence of first fully expanded leaf,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
BCA_DAF_01_FT,early; late,Number of days from sowing to when first flower opens on 50% of plant,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_DAM_01_FT,early; late,Number of days from sowing to full maturity,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_LFN_01_FT,1;2;3;4,Total number of leaves present per plant ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_LFL_01_FT,1;2;3;4,Length of median leaflet at the fourth internode ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_LFW_01_FT,1;2;3;4,Average width of three leaves at the fourth node of five healthy plants,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_ITN_01_FT,1;2;3;4,Length of fourth internode of the longest stem,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PTL_01_FT,"1:1; 1:2, 1:3",Measurement from stem node to the junction of the three leaflets  at the longest stem at the fourth node ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PIT_01_FT,1; 2; 3,The ratio of measurement of the petiole to internode,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PLL_01_FT,1; 2; 3,Measured at the base of the leaflet of the longest petiolule at fourth internode ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PEL_01_FT,1; 2; 3,Measured on the fourth internode of the longest stem,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PLS_01_FT,1; 2; 3,"Average widest length between two opposite points, of 5 plants",odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PLH_01_FT,1; 2; 3,"Measured from base of the plant to the tip of the highestpoint, including the terminal leaflet of 5 plants",odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PDN_01_FT,1;2;3;4,Average number of pods recorded from 5 plants  per plot,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PDW_01_FT,1;2;3;4,Average weight of pods taken from 5 plants per plot ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PDD_01_FT,1;2;3;4,Average width of pods taken from 5 plants per plot ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_PDL_01_FT,1;2;3;4,Average length of 10 pods,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SDW_01_FT,1;2;3;4,Average weight of seeds from 5 plants taken with a plot after drying,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SDD_01_FT,1;2;3;4,Average width of seed from 5 plants taken with plot after drying,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SDN_01_FT,1;2;3;4,Average number of seeds taken from 5 plants per plot ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SDL_01_FT,1;2;3;4,Average of seed length from 5 seeds taken per plot,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SSW_01_FT,1;2;3;4,Average of 100 seed weight,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SOW_01_FT,1;2;3;4,Weight of aboveground  biomassof harvested plants,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SHT_01_FT,1;2;3;4,Recorded within two months after harvest; average thickness of 10 pod,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SHW_01_FT,1;2;3;4,100 dry pods  weighed then shelled  ,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_SHP_01_FT,1;2;3;4,Average percentage of 10 pods based on weight of mature seeds (at 12% moinsture content),odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
bca_STN_01_FT,1;2;3;4,Number of stem recorded from selected plants,odireleng.molosiwa@gmail.com,none,razlin.azman@cffresearch.org,2/04/2014,"UoN PhD project Odireleng Molosiwa, supervised by Sean Mayes ",sean.mayes@cffresearch.org,prepublication ,razlin.azman@cffresearch.org
